Draw Date,Winning Numbers,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
12/21/2016,25 33 40 54 68 03,5,$40 Million,R,,,,
12/24/2016,28 38 42 51 52 21,2,$50 Million,R,,,,
12/28/2016,16 23 30 44 58 04,2,$60 Million,R,,,,
12/31/2016,01 03 28 57 67 09,2,$70 Million,R,,,,
1/4/2017,16 17 29 41 42 04,3,$80 Million,R,,,,
1/7/2017,03 12 24 37 63 10,2,$90.8 Million,R,,,,
1/11/2017,01 03 13 16 43 24,2,$105 Million,R,,,,
1/14/2017,23 55 59 64 69 13,5,$123 Million,R,,,,
1/18/2017,09 40 41 53 58 12,2,$136 Million,R,,,,
1/21/2017,23 25 45 52 67 02,2,$154 Million,R,,,,
1/25/2017,18 28 62 66 68 22,2,$169 Million,R,,,,
1/28/2017,12 20 39 49 69 17,2,$189 Million,R,,,,
2/1/2017,09 43 57 60 64 10,2,$209 Million,R,,,,
2/4/2017,06 13 16 17 52 25,3,$233 Million,R,,,,
2/8/2017,14 20 42 49 66 05,2,$258 Million,R,,,,
2/11/2017,05 09 17 37 64 02,2,$283 Million,R,,,,
2/15/2017,05 28 33 38 42 19,2,$317 Million,R,,,,
2/18/2017,03 07 09 31 33 20,3,$361 Million,R,,,,
2/22/2017,10 13 28 52 61 02,2,$435 Million,1,IN,,,
2/25/2017,06 32 47 62 65 19,2,$40 Million,R,,,,
3/1/2017,10 16 40 52 55 17,10,$53.9 Million,R,,,,
3/4/2017,02 18 19 22 63 19,3,$71.2 Million,R,,,,
3/8/2017,23 33 42 46 59 04,2,$86.5 Million,R,,,,
3/11/2017,01 26 41 50 57 11,2,$106 Million,R,,,,
3/15/2017,16 30 41 48 53 16,3,$123 Million,R,,,,
3/18/2017,13 25 44 54 67 05,3,$139 Million,R,,,,
3/22/2017,02 09 27 29 42 09,2,$156 Million,1,WI,,,
3/25/2017,18 31 32 45 48 16,4,$40 Million,R,,,,
3/29/2017,08 15 31 36 62 11,3,$50 Million,R,,,,
4/1/2017,09 32 36 44 65 01,3,$60 Million,1,IN,,,
4/5/2017,08 20 46 53 54 13,2,$40 Million,R,,,,
4/8/2017,23 36 51 53 60 15,2,$50 Million,R,,,,
4/12/2017,08 14 61 63 68 24,2,$60 Million ,R,,,,
4/15/2017,05 22 26 45 61 13,3,$70 Million,R,,,,
4/19/2017,01 19 37 40 52 15,3,$80 Million,R,,,,
4/22/2017,21 39 41 48 63 06,3,$90 Million,R,,,,
4/26/2017,01 15 18 26 51 26,4,$100 Million,R,,,,
4/29/2017,22 23 24 45 62 05,2,$115 Million,R,,,,
5/3/2017,17 18 49 59 66 09,2,$131 Million,R,,,,
5/6/2017,11 21 31 41 59 21,3,$149 Million,R,,,,
5/10/2017,29 31 46 56 62 08,2,$166 Million,R,,,,
5/13/2017,17 20 32 63 68 19,5,$185 Million,R,,,,
5/17/2017,04 11 39 45 48 09,3,$205 Million,R,,,,
5/20/2017,05 22 45 47 54 03,2,$226 Million,R,,,,
5/24/2017,28 32 33 38 62 15,2,$249 Million,R,,,,
5/27/2017,05 10 28 55 67 09,3,$274 Million,R,,,,
5/31/2017,04 33 39 46 60 06,2,$304 Million,R,,,,
6/3/2017,03 09 21 41 54 25,4,$338 Million,R,,,,
6/7/2017,05 21 57 66 69 13,3,$380 Million,R,,,,
6/10/2017,20 26 32 38 58 03,2,$447 Million,1,CA,,,
6/14/2017,05 22 43 57 63 24,2,$40 Million,R,,,,
6/17/2017,10 13 32 53 62 21,2,$53 Million,R,,,,
6/21/2017,14 46 61 65 68 13,2,$65.3 Million,R,,,,
6/24/2017,10 22 32 36 58 10,4,$78.7 Million,R,,,,
6/28/2017,29 37 46 53 68 08,2,$91.8 Million,R,,,,
7/1/2017,19 42 45 48 53 16,3,$109 Million,R,,,,
7/5/2017,04 09 16 54 68 21,2,$123 Million,R,,,,
7/8/2017,08 10 29 40 59 26,2,$140 Million,R,,,,
7/12/2017,01 02 18 23 61 09,2,$155 Million,R,,,,
7/15/2017,09 40 63 64 66 17,2,$170 Million,R,,,,
7/19/2017,50 51 59 61 63 04,5,$186 Million,R,,,,
7/22/2017,05 32 44 53 60 09,3,$201 Million,R,,,,
7/26/2017,07 19 21 42 69 12,2,$218 Million,R,,,,
7/29/2017,01 28 40 45 48 12,2,$242 Million,R,,,,
8/2/2017,01 16 54 63 69 18,3,$262 Million,R,,,,
8/5/2017,11 21 28 33 45 11,2,$287 Million,R,,,,
8/9/2017,12 30 36 47 62 09,4,$323 Million,R,,,,
8/12/2017,20 24 26 35 49 19,2,$371 Million,R,,,,
8/16/2017,09 15 43 60 64 04,3,$432 Million,R,,,,
8/19/2017,17 19 39 43 68 13,4,$541 Million,R,,,,
8/23/2017,06 07 16 23 26 04,4,$758 Million,1,MA,,,
8/26/2017,07 15 32 38 66 15,2,$40 Million,R,,,,
8/30/2017,19 28 43 67 69 07,2,$54.3 Million,R,,,,
9/2/2017,06 21 41 52 62 26,2,$70.5 Million,R,,,,
9/6/2017,08 14 32 58 67 17,3,$84.8 Million,R,,,,
9/9/2017,06 20 29 57 59 22,2,$100 Million,R,,,,
9/13/2017,17 24 35 57 63 19,3,$115 Million,R,,,,
9/16/2017,17 18 24 25 31 24,2,$133 Million,1,CO,,,
9/20/2017,39 48 53 67 68 26,3,$40 Million,R,,,,
9/23/2017,24 45 55 56 57 19,2,$53.6 Million,R,,,,
9/27/2017,08 10 21 23 25 22,3,$66.1 Million,R,,,,
9/30/2017,08 12 25 41 64 15,3,$81.6 Million,R,,,,
10/4/2017,22 23 62 63 66 24,2,$95.5 Million,R,,,,
10/7/2017,10 49 61 63 65 07,2,$112 Million,R,,,,
10/11/2017,01 03 13 19 69 23,2,$127 Million,R,,,,
10/14/2017,32 37 56 66 69 11,3,$141 Million,R,,,,
10/18/2017,30 49 54 66 69 08,2,$156 Million,R,,,,
10/21/2017,14 41 42 45 69 04,2,$174 Million,R,,,,
10/25/2017,18 22 29 54 57 08,3,$191 Million,1,LA,,,
10/28/2017,27 35 38 57 66 10,2,$40 Million,R,,,,
11/1/2017,03 06 19 26 44 01,2,$50.1 Million,R,,,,
11/4/2017,12 14 26 48 51 13,3,$62.9 Million,R,,,,
11/8/2017,12 14 20 21 34 22,2,$75.5 Million,R,,,,
11/11/2017,04 06 16 30 56 18,2,$89.5 Million,R,,,,
11/15/2017,23 32 44 48 50 25,2,$103 Million,R,,,,
11/18/2017,17 28 31 32 39 26,3,$120 Million,R,,,,
11/22/2017,35 37 46 51 61 13,2,$134 Million,R,,,,
11/25/2017,08 13 27 53 54 04,2,$147 Million,R,,,,
11/29/2017,24 26 28 59 63 16,3,$161 Million,R,,,,
12/2/2017,28 30 32 36 58 06,3,$178 Million,R,,,,
12/6/2017,19 20 50 55 62 09,2,$194 Million,R,,,,
12/9/2017,25 36 37 55 60 06,5,$211 Million,R,,,,
12/13/2017,02 24 28 51 58 07,3,$230 Million,R,,,,
12/16/2017,09 35 37 50 63 11,2,$249 Million,R,,,,
12/20/2017,01 20 61 64 69 20,2,$272 Million,R,,,,
12/23/2017,01 03 13 15 44 25,2,$309 Million,R,,,,
12/27/2017,03 09 16 56 60 03,3,$340 Million,R,,,,
12/30/2017,28 36 41 51 58 24,2,$390 Million,R,,,,
1/3/2018,02 18 37 39 42 12,3,$460 Million,R,,,,
1/6/2018,12 61 30 29 33 26,3,$559 Million,1,NH,,,
1/10/2018,07 24 33 49 50 04,5,$40 Million,R,,,,
1/13/2018,14 25 35 58 69 24,2,$50 Million,R,,,,
1/17/2018,03 33 37 51 57 21,2,$62.4 Million,R,,,,
1/20/2018,26 28 47 49 58 03,4,$79.4 Million,R,,,,
1/24/2018,05 09 11 33 64 21,3,$94.4 Million,R,,,,
1/27/2018,17 21 26 47 54 07,2,$112 Million,R,,,,
1/31/2018,04 07 14 46 59 22,10,$128 Million,R,,,,
2/3/2018,15 23 27 48 53 06,2,$148 Million,R,,,,
2/7/2018,23 34 35 40 47 10,2,$164 Million,R,,,,
2/10/2018,01 13 27 41 59 20,5,$185 Million,R,,,,
2/14/2018,37 39 44 46 69 26,2,$203 Million,R,,,,
2/17/2018,13 26 39 44 62 02,3,$225 Million,R,,,,
2/21/2018,07 15 31 34 36 08,3,$245 Million,R,,,,
2/24/2018,24 25 38 62 63 06,2,$271 Million,R,,,,
2/28/2018,12 30 59 65 69 16,5,$294 Million,R,,,,
3/3/2018,13 17 25 36 40 05,2,$318 Million,R,,,,
3/7/2018,06 13 19 36 51 18,2,$346 Million,R,,,,
3/10/2018,43 44 54 61 69 22,3,$380 Million,R,,,,
3/14/2018,06 12 24 41 68 09,3,$417 Million,R,,,,
3/17/2018,22 57 59 60 66 07,2,$456 Million,1,PA,,,
3/21/2018,03 04 18 29 61 25,2,$40 Million,R,,,,
3/24/2018,10 33 45 53 56 24,3,$55.9 Million,R,,,,
3/28/2018,06 08 26 52 53 21,2,$40 Million,R,,,,
3/31/2018,08 24 52 55 61 21,3,$50 Million,R,,,,
4/4/2018,08 24 42 54 64 24,4,$60 Million,R,,,,
4/7/2018,02 17 20 38 39 20,2,$74.9 Million,R,,,,
4/11/2018,16 18 27 55 67 18,3,$89.7 Million,R,,,,
4/14/2018,17 19 26 61 62 15,2,$107 Million,R,,,,
4/18/2018,09 10 12 17 23 09,2,$124 Million,R,,,,
4/21/2018,40 50 54 62 69 19,2,$142 Million,R,,,,
4/25/2018,17 18 39 56 64 12,3,$158 Million,R,,,,
4/28/2018,20 22 28 45 50 08,5,$177 Million,R,,,,
5/2/2018,05 14 31 40 50 06,2,$195 Million,R,,,,
5/5/2018,14 29 36 57 61 17,4,$214 Million,R,,,,
5/9/2018,11 16 38 50 69 19,2,$235 Million,R,,,,
5/12/2018,22 42 45 55 56 14,3,$257 Million,R,,,,
5/16/2018,17 19 21 22 51 19,2,$279 Million,R,,,,
5/19/2018,03 06 09 17 56 25,3,$315 Million,1,NJ,,,
5/23/2018,20 54 56 61 64 07,4,$40 Million,R,,,,
5/26/2018,01 21 31 45 49 21,2,$50 Million,R,,,,
5/30/2018,17 23 26 46 68 20,2,$60 Million,R,,,,
6/2/2018,23 25 37 44 64 07,4,$74 Million,R,,,,
6/6/2018,23 28 41 53 56 14,3,$87.9 Million,R,,,,
6/9/2018,06 10 15 25 36 14,3,$105 Million,R,,,,
6/13/2018,13 20 38 45 55 01,2,$120 Million,R,,,,
6/16/2018,09 45 57 58 65 09,2,$136 Million,R,,,,
6/20/2018,04 14 23 27 56 13,2,$150 Million,1,OR,,,
6/23/2018,16 29 43 45 56 25,2,$40 Million,R,,,,
6/27/2018,07 28 37 62 63 15,2,$50 Million,R,,,,
6/30/2018,03 09 20 42 61 24,2,$60 Million,R,,,,
7/4/2018,04 07 15 41 44 10,2,$70 Million,R,,,,
7/7/2018,01 10 43 45 64 22,3,$80 Million,R,,,,
7/11/2018,19 21 27 46 47 07,4,$90 Million,R,,,,
7/14/2018,22 41 42 49 67 11,3,$100 Million,R,,,,
7/18/2018,01 10 27 28 36 12,2,$113 Million,R,,,,
7/21/2018,09 23 56 58 68 01,2,$131 Million,R,,,,
7/25/2018,02 18 41 44 64 26,2,$149 Million,R,,,,
7/28/2018,22 27 46 56 65 13,2,$168 Million,R,,,,
8/1/2018,05 22 32 38 58 26,2,$185 Million,R,,,,
8/4/2018,03 11 38 44 58 02,4,$205 Million,R,,,,
8/8/2018,10 21 30 43 63 17,2,$225 Million,R,,,,
8/11/2018,05 43 56 62 68 24,2,$245 Million,1,NY,,,
8/15/2018,12 15 28 47 48 16,2,$40 Million,R,,,,
8/18/2018,24 34 52 61 67 16,3,$50 Million,R,,,,
8/22/2018,01 07 45 47 69 13,2,$60 Million,R,,,,
8/25/2018,20 25 54 57 63 08,2,$70 Million,R,,,,
8/29/2018,25 41 53 57 67 12,2,$80 Million,R,,,,
9/1/2018,11 54 55 61 66 09,3,$90 Million,R,,,,
9/5/2018,06 15 50 59 60 13,2,$100 Million,R,,,,
9/8/2018,03 13 20 32 33 21,3,$118 Million,R,,,,
9/12/2018,06 28 48 63 64 24,2,$131 Million,R,,,,
9/15/2018,02 18 19 24 34 03,3,$147 Million,R,,,,
9/19/2018,04 39 48 50 51 11,3,$161 Million,R,,,,
9/22/2018,24 61 63 64 69 18,5,$179 Million,R,,,,
9/26/2018,01 02 07 30 50 08,5,$195 Million,R,,,,
9/29/2018,09 17 34 59 64 22,2,$213 Million,R,,,,
10/3/2018,41 53 59 63 66 03,3,$232 Million,R,,,,
10/6/2018,01 22 27 53 67 15,3,$262 Million,R,,,,
10/10/2018,08 23 27 42 60 07,3,$287 Million,R,,,,
10/13/2018,11 14 32 43 65 15,3,$320 Million,R,,,,
10/17/2018,03 57 64 68 69 15,3,$378 Million,R,,,,
10/20/2018,16 54 57 62 69 23,2,$476 Million,R,,,,
10/24/2018,03 21 45 53 56 22,2,$602 Million,R,,,,
10/27/2018,08 12 13 19 27 04,3,$687 Million,2,IA,NY,,
10/31/2018,07 25 39 40 47 20,3,$40 Million,R,,,,
11/3/2018,15 21 24 32 65 11,3,$57.8 Million,R,,,,
11/7/2018,26 28 34 42 50 25,2,$73.1 Million,R,,,,
11/10/2018,05 29 34 53 57 24,2,$90.4 Million,R,,,,
11/14/2018,07 42 49 62 69 23,5,$106 Million,R,,,,
11/17/2018,06 08 20 52 68 05,2,$124 Million,R,,,,
11/21/2018,07 14 23 38 55 18,2,$139 Million,R,,,,
11/24/2018,11 33 51 56 58 18,2,$153 Million,R,,,,
11/28/2018,04 19 59 68 69 21,2,$167 Million,R,,,,
12/1/2018,10 11 47 55 58 26,2,$183 Million,R,,,,
12/5/2018,09 11 36 37 38 11,5,$199 Million,R,,,,
12/8/2018,14 32 34 46 61 10,2,$212 Million,R,,,,
12/12/2018,04 09 21 29 64 26,2,$228 Million,R,,,,
12/15/2018,08 38 43 52 55 17,3,$245 Million,R,,,,
12/22/2018,21 28 30 40 59 26,3,$262 Million,R,,,,
12/19/2018,15 29 31 37 43 16,2,$276 Million,R,,,,
12/26/2018,05 25 38 52 67 24,2,$298 Million,1,NY,,,
12/29/2018,12 42 51 53 62 25,2,$40 Million,R,,,,
1/2/2019,08 12 42 46 56 12,2,$54.6 Million,R,,,,
1/5/2019,03 07 15 27 69 19,2,$68.2 Million,R,,,,
1/9/2019,06 19 37 49 59 22,3,$81.6 Million,R,,,,
1/12/2019,07 36 48 57 58 24,2,$98 Million,R,,,,
1/16/2019,14 29 31 56 61 01,2,$113 Million,R,,,,
1/19/2019,05 08 41 65 66 20,3,$130 Million,R,,,,
1/23/2019,23 25 47 48 50 24,3,$144 Million,R,,,,
1/26/2019,08 12 20 21 32 10,4,$159 Million,R,,,,
1/30/2019,02 12 16 29 54 06,2,$173 Million,R,,,,
2/2/2019,10 17 18 43 65 13,5,$189 Million,R,,,,
2/6/2019,05 13 28 38 63 21,5,$206 Million,R,,,,
2/9/2019,01 02 03 07 39 25,3,$223 Million,R,,,,
2/13/2019,02 08 14 24 69 26,2,$240 Million,R,,,,
2/16/2019,29 30 41 48 64 01,4,$262 Million,R,,,,
2/20/2019,27 49 50 51 52 02,2,$280 Million,R,,,,
2/23/2019,04 06 14 20 32 13,2,$302 Million,R,,,,
2/27/2019,21 31 42 49 59 23,5,$324 Million,R,,,,
3/2/2019,01 19 25 27 68 21,2,$356 Million,R,,,,
3/6/2019,06 10 21 35 46 23,2,$382 Million,R,,,,
3/9/2019,05 06 45 55 59 14,3,$411 Million,R,,,,
3/13/2019,18 36 45 47 69 14,3,$448 Million,R,,,,
3/16/2019,30 34 39 53 67 11,2,$492 Million,R,,,,
3/20/2019,10 14 50 53 63 21,2,$562 Million,R,,,,
3/23/2019,24 25 52 60 66 05,3,$638 Million,R,,,,
3/27/2019,16 20 37 44 62 12,3,$768 Million,1,WI,,,
3/30/2019,21 52 54 64 68 04,3,$40 Million,R,,,,
4/3/2019,16 19 25 32 49 18,2,$54.3 Million,R,,,,
4/6/2019,15 33 43 59 60 08,3,$70.9 Million,R,,,,
4/10/2019,12 21 23 39 67 06,4,$85.4 Million,R,,,,
4/13/2019,04 17 26 32 49 10,2,$103 Million,R,,,,
4/17/2019,01 15 17 46 66 15,3,$119 Million,R,,,,
4/20/2019,03 27 30 63 65 01,3,$134 Million,R,,,,
4/24/2019,06 32 35 36 65 04,5,$149 Million,R,,,,
4/27/2019,02 29 41 45 62 06,3,$166 Million,R,,,,
5/1/2019,05 23 28 56 66 17,5,$181 Million,R,,,,
5/4/2019,06 16 23 30 61 02,2,$199 Million,R,,,,
5/8/2019,01 45 53 64 66 03,3,$216 Million,R,,,,
5/11/2019,06 08 09 37 40 26,2,$232 Million,R,,,,
5/15/2019,07 17 33 61 68 04,2,$250 Million,R,,,,
5/18/2019,02 10 25 66 67 26,4,$269 Million,R,,,,
5/22/2019,07 10 20 44 57 03,2,$287 Million,R,,,,
5/25/2019,01 02 39 43 66 02,3,$306 Million,R,,,,
5/29/2019,03 32 34 42 61 07,2,$327 Million,R,,,,
6/1/2019,06 15 34 45 52 08,2,$344 Million,1,NC,,,
6/5/2019,17 23 28 34 38 08,3,$40 Million,R,,,,
6/8/2019,09 13 42 48 60 18,2,$53.8 Million,R,,,,
6/12/2019,05 35 38 42 57 13,2,$65.9 Million,R,,,,
6/15/2019,08 11 14 16 49 14,3,$80.2 Million,R,,,,
6/19/2019,04 18 21 26 38 01,3,$93.6 Million,R,,,,
6/22/2019,03 06 11 14 66 21,2,$108 Million,R,,,,
6/26/2019,01 05 16 22 54 24,3,$123 Million,R,,,,
6/29/2019,13 17 24 59 62 08,2,$136 Million,R,,,,
7/3/2019,40 43 45 50 61 25,3,$150 Million,R,,,,
7/6/2019,04 08 23 46 65 01,2,$164 Million,R,,,,
7/10/2019,07 09 26 44 68 03,3,$178 Million,R,,,,
7/13/2019,13 23 32 35 68 21,3,$198 Million,1,TN ,,,
7/17/2019,19 43 47 60 68 10,2,$40 Million,R,,,,
7/20/2019,05 26 36 64 69 19,3,$51.7 Million,R,,,,
7/24/2019,22 29 35 53 56 13,2,$63 Million,R,,,,
7/27/2019,01 19 31 48 61 06,2,$75.8 Million,R,,,,
7/31/2019,14 37 47 55 67 06,2,$88 Million,R,,,,
8/3/2019,03 06 45 66 68 13,2,$100 Million,R,,,,
8/7/2019,08 32 47 53 59 03,3,$113 Million,R,,,,
8/10/2019,35 41 44 58 59 03,3,$123 Million,R,,,,
8/14/2019,10 13 30 51 69 10,2,$138 Million,R,,,,
8/17/2019,18 21 24 30 60 20,3,$148 Million,1,NY,,,
8/21/2019,12 21 22 29 32 21,2,$40 Million,R,,,,
8/24/2019,05 12 20 21 47 01,2,$50 Million,R,,,,
8/28/2019,09 32 37 41 56 14,10,$60 Million,R,,,,
8/31/2019,14 41 50 56 57 18,5,$70 Million,R,,,,
9/4/2019,04 08 30 52 59 02,10,$80 Million,1,NY,,,
9/7/2019,11 20 41 42 56 06,2,$40 Million,R,,,,
9/11/2019,06 17 24 53 57 03,3,$50 Million,R,,,,
9/14/2019,11 27 31 36 67 11,2,$60 Million,R,,,,
9/18/2019,14 19 39 47 51 15,3,$70 Million,R,,,,
9/21/2019,01 09 22 36 68 22,2,$80 Million,1,MI,,,
9/25/2019,37 43 44 45 53 25,3,$40 Million,R,,,,
9/28/2019,15 23 34 51 55 04,2,$50 Million,R,,,,
10/2/2019,04 08 10 43 53 07,2,$60 Million,R,,,,
10/5/2019,06 14 36 51 54 04,2,$70 Million,R,,,,
10/9/2019,05 18 33 43 65 02,2,$80 Million,R,,,,
10/12/2019,12 29 34 53 65 23,2,$90 Million,R,,,,
10/16/2019,01 05 25 63 67 03,2,$100 Million,R,,,,
10/19/2019,14 27 29 59 65 12,2,$110 Million,R,,,,
10/23/2019,05 12 50 61 69 23,2,$120 Million,R,,,,
10/26/2019,03 20 48 54 59 04,4,$130 Million,R,,,,
10/30/2019,19 22 52 56 67 21,2,$140 Million,R,,,,
11/2/2019,03 23 32 37 58 22,2,$150 Million,1,CA,,,
11/6/2019,15 28 46 62 64 17,3,$40 Million,R,,,,
11/9/2019,14 17 35 38 60 25,2,$50 Million,R,,,,
11/13/2019,23 26 27 28 66 11,2,$60 Million,R,,,,
11/16/2019,14 22 26 55 63 26,3,$70 Million,R,,,,
11/20/2019,07 15 39 40 57 12,2,$80 Million,R,,,,
11/23/2019,28 35 38 61 66 23,3,$90 Million,R,,,,
11/27/2019,15 26 37 53 55 21,2,$100 Million,R,,,,
11/30/2019,15 35 42 63 68 18,4,$110 Million,R,,,,
12/4/2019,08 27 44 51 61 14,3,$120 Million,R,,,,
12/7/2019,18 42 53 62 66 25,3,$130 Million,R,,,,
12/11/2019,24 29 42 44 63 10,4,$140 Million,R,,,,
12/14/2019,03 06 12 32 64 19,3,$150 Million,R,,,,
12/18/2019,14 18 26 39 68 09,2,$160 Million,R,,,,
12/21/2019,19 31 35 50 67 14,2,$173 Million,R,,,,
12/25/2019,02 04 16 30 46 20,2,$188 Million,R,,,,
12/28/2019,20 23 39 59 60 18,2,$203 Million,R,,,,
1/1/2020,49 53 57 59 62 26,2,$221 Million,R,,,,
1/4/2020,01 11 21 25 54 07,2,$239 Million,R,,,,
1/8/2020,02 04 07 43 56 22,4,$258 Million,R,,,,
1/11/2020,03 21 23 31 59 03,2,$277 Million,R,,,,
1/15/2020,39 41 53 55 68 19,2,$298 Million,R,,,,
1/18/2020,20 24 38 56 68 18,2,$322 Million,R,,,,
1/22/2020,11 33 44 59 67 08,3,$347 Million,R,,,,
1/25/2020,02 09 17 36 67 18,2,$366 Million,R,,,,
1/29/2020,09 12 15 31 60 02,2,$396 Million,1,FL,,,
2/1/2020,12 33 54 57 60 13,4,$40 Million,R,,,,
2/5/2020,23 30 35 41 57 02,3,$50 Million,R,,,,
2/8/2020,35 49 50 59 66 06,2,$60 Million,R,,,,
2/12/2020,14 47 54 55 68 25,2,$70 Million,1,MI,,,
2/15/2020,16 32 35 36 46 03,3,$40 Million,R,,,,
2/19/2020,10 12 15 19 56 19,2,$50 Million,R,,,,
2/22/2020,25 37 39 61 62 11,3,$60 Million,R,,,,
2/26/2020,08 27 29 36 47 24,3,$70 Million,R,,,,
2/29/2020,24 44 46 50 51 13,3,$80 Million,R,,,,
3/4/2020,18 43 58 60 68 14,2,$90 Million,R,,,,
3/7/2020,07 15 21 33 62 23,2,$100 Million,R,,,,
3/11/2020,04 29 49 50 67 02,4,$110 Million,R,,,,
3/14/2020,09 23 26 30 32 08,3,$120 Million,R,,,,
3/18/2020,15 27 44 59 63 08,4,$130 Million,R,,,,
3/21/2020,02 23 40 59 69 13,2,$140 Million,R,,,,
3/25/2020,05 09 27 39 42 16,2,$150 Million,R,,,,
3/28/2020,07 40 48 55 66 11,2,$160 Million,R,,,,
4/1/2020,33 35 45 48 60 16,2,$170 Million,R,,,,
4/4/2020,08 31 39 40 43 04,3,$180 Million,R,,,,
4/8/2020,02 37 39 48 54 05,3,$190 Million,1,NJ,,,
4/11/2020,22 29 30 42 47 17,3,$20 Million,R,,,,
4/15/2020,10 12 33 36 41 02,3,$22 Million,R,,,,
4/18/2020,04 44 46 56 63 19,2,$24 Million,R,,,,
4/22/2020,01 33 35 40 69 24,5,$30 Million,R,,,,
4/25/2020,01 03 21 47 57 18,2,$37.4 Million,R,,,,
4/29/2020,02 20 49 61 67 20,2,$44.3 Million,R,,,,
5/2/2020,13 16 33 58 68 24,5,$52.7 Million,R,,,,
5/6/2020,07 08 35 50 65 20,4,$60.2 Million,R,,,,
5/9/2020,12 18 42 48 65 19,5,$70 Million,R,,,,
5/13/2020,39 53 54 56 57 20,3,$78.1 Million,R,,,,
5/16/2020,08 12 26 39 42 11,2,$86.9 Million,R,,,,
5/20/2020,18 34 40 42 50 09,2,$95.3 Million,R,,,,
5/23/2020,02 08 18 21 23 16,4,$106 Million,R,,,,
5/27/2020,38 58 59 64 68 21,2,$115 Million,R,,,,
5/30/2020,13 32 41 58 60 14,2,$127 Million,R,,,,
