What is your gender?,Have you *ever played* the PowerBall lottery?,How many times a *month* do you play the PowerBall?,How do you pick your numbers?,Approximately how much money do you think you spend per *month* playing the Powerball?,What is your *approximate* annual income?,How many people in your household (*including yourself*)?,Have you *ever* won *any* money from playing the Powerball?,What was the *largest* prize you have won while playing the PowerBall?,What was your approximate age when you won?,In what state did you purchase a* winning* Powerball ticket?,Have you purchased a *winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* winning* Powerball ticket in?,Have you purchased a *winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* winning* Powerball ticket in?,Have you purchased a *winning* Powerball ticket in *any other state*?,What type of vendor(s) have you purchased your *winning* Powerball tickets from?,In what state did you purchase a *non-winning* Powerball ticket from?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,What type of vendor(s) have you purchased *non-winning* Powerball tickets from?,What is your current age?,Submitted At
Non-binary,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:37
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:38
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:40
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"Less than $19,400",2,FALSE,,,,,,,,,,Oregon,FALSE,,,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 11:40
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:43
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:46
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:48
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:48
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:48
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",5,TRUE,Less than $24.99,,New York,FALSE,,,,,"Convenience Store, Grocery Store",New York,FALSE,,,,,,,,,,"Grocery Store, Convenience Store",,6/3/2020 11:49
Male,"Yes, occasionally",Once every other week,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",2,TRUE,Less than $24.99,,Missouri,FALSE,,,,,Convenience Store,Delaware,FALSE,,,,,,,,,,"Convenience Store, Gas Station",,6/3/2020 11:49
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:52
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:52
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",2,TRUE,Less than $24.99,,Minnesota,FALSE,,,,,Gas Station,Minnesota,FALSE,,,,,,,,,,Gas Station,,6/3/2020 11:55
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 11:59
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$50,000 - $78,950",1,TRUE,Less than $24.99,,Washington State,FALSE,,,,,Gas Station,Montana,FALSE,,,,,,,,,,Gas Station,,6/3/2020 12:13
Female,"Yes, occasionally",Once every other week,Choose my own - different numbers each time,Less than $10,"Less than $19,400",1,FALSE,,,,,,,,,,New York,FALSE,,,,,,,,,,Online through TheLotter,,6/3/2020 12:14
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",1,FALSE,,,,,,,,,,Massachusetts,TRUE,Connecticut,TRUE,New Hampshire,FALSE,,,,,,"Gas Station, Convenience Store",,6/3/2020 12:19
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 12:24
Female,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$150,000 +",2,TRUE,$5 million +,69,New York,FALSE,,,,,Drug Store,New York,FALSE,,,,,,,,,,Drug Store,,6/3/2020 12:46
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:01
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:16
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:17
Prefer not to answer,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:23
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:26
Prefer not to answer,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:29
Male,"Yes, occasionally",When after-tax lump sum gets over about $200M,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",3,TRUE,Less than $24.99,,Washington State,FALSE,,,,,"Gas Station, Grocery Store, Convenience Store",Washington State,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 13:51
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:53
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 13:56
Male,"Yes, all the time",Once a week,Quick Pick (let the machine pick my numbers),$10- $49,"$50,000 - $78,950",2,TRUE,Less than $24.99,,South Carolina,FALSE,,,,,Gas Station,South Carolina,FALSE,,,,,,,,,,Gas Station,,6/3/2020 13:58
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 14:01
Female,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",6,FALSE,,,,,,,,,,California,FALSE,,,,,,,,,,"Convenience Store, Grocery Store",,6/3/2020 14:02
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 14:11
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",3,FALSE,,,,,,,,,,Louisiana,,,,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 14:14
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 14:21
Female,"Yes, all the time",Every Drawing,Quick Pick (let the machine pick my numbers),$10- $49,"$78,951 - 149,999",4,TRUE,Less than $24.99,,New York,FALSE,,,,,"Gas Station, Grocery Store",New Jersey,FALSE,,,,,,,,,,"Gas Station, Drug Store, Grocery Store",,6/3/2020 14:28
Female,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",1,FALSE,,,,,,,,,,Washington State,FALSE,,,,,,,,,,Grocery Store,,6/3/2020 14:33
Male,"Yes, occasionally",Once every other week,Quick Pick (let the machine pick my numbers),$10- $49,"$78,951 - 149,999",3,TRUE,$25 - $999,,Pennsylvania,FALSE,,,,,"Gas Station, Convenience Store, Grocery Store",Missouri,TRUE,Kansas,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 14:38
Male,"Yes, occasionally",Less than 2 times a month,Choose my own - different numbers each time,$10- $49,"$150,000 +",5,FALSE,,,,,,,,,,Texas,FALSE,,,,,,,,,,Gas Station,,6/3/2020 14:47
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$150,000 +",4,FALSE,,,,,,,,,,Arkansas,TRUE,Florida,TRUE,Tennessee,FALSE,,,,,,Gas Station,,6/3/2020 14:51
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 15:07
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",4,FALSE,,,,,,,,,,New York,FALSE,,,,,,,,,,"Gas Station, Convenience Store",,6/3/2020 16:05
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,0.1,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Washington State,TRUE,Oregon,FALSE,,,,,,,,Convenience Store,,6/3/2020 17:51
Female,"I have in the past, but not anymore",Almost never,"Choose my own - different numbers each time, Quick Pick (let the machine pick my numbers)",Less than $10,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Illinois,TRUE,Wisconsin,TRUE,Colorado,FALSE,,,,,,"Gas Station, Convenience Store",,6/3/2020 18:19
Male,once.,Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,Gas Station,,6/3/2020 19:59
Female,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",3,FALSE,,,,,,,,,,Michigan,FALSE,,,,,,,,,,"Grocery Store, Convenience Store, Gas Station",,6/3/2020 20:34
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 20:37
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",4,FALSE,,,,,,,,,,Oregon,TRUE,Washington State,FALSE,,,,,,,,Gas Station,,6/3/2020 23:14
Female,"Yes, occasionally",Once every other week,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Idaho,TRUE,Montana,FALSE,,,,,,,,Gas Station,,6/4/2020 1:01
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/4/2020 1:09
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Florida,FALSE,,,,,,,,,,Gas Station,,6/4/2020 1:09
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/4/2020 2:11
Male,"Yes, occasionally",Once every other week,Quick Pick (let the machine pick my numbers),$10- $49,"Less than $19,400",2,TRUE,Less than $24.99,,Tennessee,FALSE,,,,,"Gas Station, Convenience Store",Tennessee,FALSE,,,,,,,,,,Gas Station,,6/4/2020 3:59
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/4/2020 5:24
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/4/2020 5:42
Male,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",4,TRUE,$25 - $999,,Arizona,FALSE,,,,,Convenience Store,California,TRUE,Oregon,FALSE,,,,,,,,"Convenience Store, Gas Station",,6/5/2020 0:24
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",5,FALSE,,,,,,,,,,Georgia,TRUE,Florida,FALSE,,,,,,,,Convenience Store,60 - 74,6/5/2020 19:56
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$150,000 +",5,FALSE,,,,,,,,,,Nebraska,FALSE,,,,,,,,,,Gas Station,30 - 44,6/5/2020 21:17
Male,"Yes, occasionally",Once a week,Choose my own - different numbers each time,$10- $49,"$78,951 - 149,999",5,TRUE,$5 million +,21,New York,FALSE,,,,,Grocery Store,New York,FALSE,,,,,,,,,,Grocery Store,18 - 29,6/5/2020 22:27
Prefer not to answer,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",3,TRUE,$25 - $999,,California,FALSE,,,,,"Gas Station, Drug Store",California,FALSE,,,,,,,,,,"Drug Store, Grocery Store, Convenience Store",30 - 44,6/6/2020 1:40
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$78,951 - 149,999",4,FALSE,,,,,,,,,,Virginia,TRUE,New York,FALSE,,,,,,,,"Drug Store, Convenience Store, Gas Station",30 - 44,6/6/2020 9:46
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),$5 ,"$19,401 - $49,999",1,FALSE,,,,,,,,,,California,FALSE,,,,,,,,,,Convenience Store,45 - 59,6/6/2020 16:09
Female,"I have in the past, but not anymore",Almost never,Choose my own - same numbers each time,$50 - $99,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Minnesota,FALSE,,,,,,,,,,Convenience Store,18 - 29,6/6/2020 16:15
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/6/2020 17:48
Female,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),$10- $49,"$50,000 - $78,950",1,FALSE,,,,,,,,,,New Jersey,TRUE,Pennsylvania,FALSE,,,,,,,,"Gas Station, Convenience Store",18 - 29,6/6/2020 19:39
Male,"I have in the past, but not anymore",Almost never,"Choose my own - different numbers each time, Quick Pick (let the machine pick my numbers)",Less than $10,"Less than $19,400",4,FALSE,,,,,,,,,,Idaho,FALSE,,,,,,,,,,Gas Station,18 - 29,6/6/2020 23:03
Male,"Yes, occasionally",Less than 2 times a month,Choose my own - different numbers each time,$100 - $499,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Illinois,TRUE,Georgia,TRUE,Georgia,FALSE,,,,,,Drug Store,18 - 29,6/7/2020 2:02
Male,"Yes, occasionally",Once a week,Choose my own - same numbers each time,$10- $49,"$19,401 - $49,999",3,TRUE,$25 - $999,,Arizona,FALSE,,,,,"Gas Station, Convenience Store, Drug Store",Arizona,FALSE,,,,,,,,,,"Gas Station, Convenience Store, Drug Store",30 - 44,6/7/2020 5:37
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/7/2020 9:39
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/7/2020 11:28
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/7/2020 14:35
Male,"I have in the past, but not anymore",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$150,000 +",2,TRUE,Less than $24.99,,North Carolina,FALSE,,,,,Grocery Store,Colorado,FALSE,,,,,,,,,,Grocery Store,30 - 44,6/7/2020 15:44
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/7/2020 16:28
Prefer not to answer,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/7/2020 16:43
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/7/2020 23:14
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Massachusetts,FALSE,,,,,,,,,,Convenience Store,30 - 44,6/8/2020 0:38
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/8/2020 11:21
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/8/2020 15:14
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/8/2020 16:12
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/8/2020 17:34
Male,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,New York,FALSE,,,,,,,,,,"Gas Station, Convenience Store",18 - 29,6/8/2020 17:37
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 - 59,6/8/2020 18:53
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 - 59,6/8/2020 21:02
Female,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",4,FALSE,,,,,,,,,,Tennessee,FALSE,,,,,,,,,,Grocery Store,18 - 29,6/9/2020 2:44
Male,"Yes, occasionally",Almost never,Choose my own - same numbers each time,Less than $10,"$150,000 +",5,FALSE,,,,,,,,,,New York,FALSE,,,,,,,,,,Gas Station,18 - 29,6/9/2020 3:39
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),$10- $49,"Less than $19,400",2,TRUE,$25 - $999,,Indiana,TRUE,Oklahoma,FALSE,,,"Convenience Store, Grocery Store",Indiana,TRUE,Oklahoma,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store, Drug Store",30 - 44,6/9/2020 7:07
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/9/2020 8:41
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/9/2020 14:16
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/9/2020 14:28
Female,"I have in the past, but not anymore",Less than 2 times a month,Quick Pick (let the machine pick my numbers),$10- $49,"$19,401 - $49,999",4,TRUE,$25 - $999,,Colorado,FALSE,,,,,Convenience Store,Colorado,FALSE,,,,,,,,,,Convenience Store,18 - 29,6/9/2020 21:43
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/10/2020 0:54
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/10/2020 1:28
Female,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,New York,FALSE,,,,,,,,,,Convenience Store,45 - 59,6/10/2020 1:55
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"Less than $19,400",0,TRUE,$25 - $999,,Massachusetts,FALSE,,,,,Convenience Store,Massachusetts,FALSE,,,,,,,,,,Convenience Store,30 - 44,6/10/2020 3:44
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/10/2020 7:18
Male,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"Less than $19,400",4,FALSE,,,,,,,,,,Maine,FALSE,,,,,,,,,,Grocery Store,18 - 29,6/10/2020 12:37
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/10/2020 14:59
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/10/2020 19:10
Male,"I have in the past, but not anymore",Almost never,Choose my own - same numbers each time,Less than $10,"$19,401 - $49,999",2,FALSE,,,,,,,,,,Kansas,TRUE,Arizona,FALSE,,,,,,,,Grocery Store,30 - 44,6/10/2020 19:25
Male,"I have in the past, but not anymore",Almost never,Choose my own - same numbers each time,Less than $10,"$19,401 - $49,999",2,TRUE,$25 - $999,,Pennsylvania,FALSE,,,,,Bar,Pennsylvania,FALSE,,,,,,,,,,Convenience Store,18 - 29,6/10/2020 22:09
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/11/2020 0:16
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/11/2020 3:11
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/11/2020 5:55
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/11/2020 14:55
Female,"Yes, occasionally",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",4,FALSE,,,,,,,,,,Maryland,FALSE,,,,,,,,,,Gas Station,18 - 29,6/11/2020 15:27
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",1,FALSE,,,,,,,,,,Texas,FALSE,,,,,,,,,,Gas Station,30 - 44,6/11/2020 16:10
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/11/2020 21:17
Male,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$50,000 - $78,950",2,FALSE,,,,,,,,,,Rhode Island,TRUE,Connecticut,FALSE,,,,,,,,Convenience Store,18 - 29,6/12/2020 0:59
Female,"Yes, occasionally",Less than 2 times a month,Choose my own - different numbers each time,Less than $10,"Less than $19,400",1,TRUE,Less than $24.99,,Colorado,TRUE,North Carolina,FALSE,,,"Gas Station, Convenience Store, Grocery Store, Drug Store",Virginia,FALSE,,,,,,,,,,Gas Station,30 - 44,6/12/2020 1:57
Female,"I have in the past, but not anymore",Almost never,Choose my own - different numbers each time,Less than $10,"$19,401 - $49,999",3,FALSE,,,,,,,,,,Tennessee,FALSE,,,,,,,,,,Gas Station,18 - 29,6/12/2020 4:03
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/12/2020 8:45
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,6/12/2020 10:39
Female,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$150,000 +",4,TRUE,Less than $24.99,,Texas,FALSE,,,,,Grocery Store,Massachusetts,FALSE,,,,,,,,,,Grocery Store,18 - 29,6/12/2020 18:31
Male,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),$0 ,"$50,000 - $78,950",3,FALSE,,,,,,,,,,Arizona,FALSE,,,,,,,,,,"Gas Station, Convenience Store",30 - 44,6/12/2020 19:07
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,6/12/2020 22:09
Female,"I have in the past, but not anymore",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",2,TRUE,Less than $24.99,,New York,FALSE,,,,,"Convenience Store, Gas Station",New York,FALSE,,,,,,,,,,"Gas Station, Convenience Store",18 - 29,6/12/2020 23:16
